Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16794124201700000004P;FA053920;PAGO CONFIRMADO;104.53;0;26/06/2017;04/07/2017;104.53;26/06/2017;ARCSA;26/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16782369201700000001P;FA053914;PAGO CONFIRMADO;104.53;0;26/06/2017;04/07/2017;104.53;26/06/2017;ARCSA;26/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913219201700000055P;FA053845;PAGO CONFIRMADO;904.34;0;25/06/2017;03/07/2017;904.34;26/06/2017;ARCSA;25/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913219201700000054P;FA053864;PAGO CONFIRMADO;904.34;0;25/06/2017;03/07/2017;904.34;26/06/2017;ARCSA;25/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790152201700000008P;FA053822;PAGO CONFIRMADO;104.53;0;24/06/2017;02/07/2017;104.53;26/06/2017;ARCSA;26/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790152201700000007P;FA053783;PAGO CONFIRMADO;104.53;0;24/06/2017;02/07/2017;104.53;26/06/2017;ARCSA;26/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790152201700000005P;FA053802;PAGO CONFIRMADO;104.53;0;24/06/2017;02/07/2017;104.53;26/06/2017;ARCSA;26/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790152201700000003P;FA053782;PAGO CONFIRMADO;104.53;0;24/06/2017;02/07/2017;104.53;26/06/2017;ARCSA;26/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928864201700000101P;FA053745;PAGO CONFIRMADO;904.34;0;23/06/2017;01/07/2017;904.34;24/06/2017;ARCSA;23/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928864201700000100P;FA053744;PAGO CONFIRMADO;904.34;0;23/06/2017;01/07/2017;904.34;24/06/2017;ARCSA;23/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928864201700000099P;FA053743;PAGO CONFIRMADO;904.34;0;23/06/2017;01/07/2017;904.34;24/06/2017;ARCSA;23/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928864201700000098P;FA053762;PAGO CONFIRMADO;904.34;0;23/06/2017;01/07/2017;904.34;24/06/2017;ARCSA;23/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928038201700000022P;FA053737;PAGO CONFIRMADO;225.84;0;23/06/2017;19/01/2018;225.84;26/06/2017;ARCSA;23/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
