Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16916210201700000004P;FA051789;PAGO CONFIRMADO;991.85;0;02/06/2017;10/06/2017;991.85;05/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16918478201700000005P;FA051788;PAGO CONFIRMADO;904.34;0;02/06/2017;10/06/2017;904.34;05/06/2017;ARCSA;03/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16918478201700000001P;FA051768;PAGO CONFIRMADO;904.34;0;02/06/2017;10/06/2017;904.34;05/06/2017;ARCSA;03/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927174201700000147P;FA051786;PAGO CONFIRMADO;904.34;0;02/06/2017;10/06/2017;904.34;05/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000069P;FA051785;PAGO CONFIRMADO;714.72;0;02/06/2017;10/06/2017;714.72;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927174201700000145P;FA051721;PAGO CONFIRMADO;542.58;0;02/06/2017;10/06/2017;542.58;05/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794135201700000007P;FA051726;PAGO CONFIRMADO;104.53;0;02/06/2017;10/06/2017;104.53;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16791678201700000038P;FA051724;PAGO CONFIRMADO;96.09;0;02/06/2017;10/06/2017;96.09;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787609201700000010P;FA051716;PAGO CONFIRMADO;20.9;0;02/06/2017;10/06/2017;20.9;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16791678201700000036P;FA051715;PAGO CONFIRMADO;96.09;0;02/06/2017;10/06/2017;96.09;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16791678201700000037P;FA051722;PAGO CONFIRMADO;96.09;0;02/06/2017;10/06/2017;96.09;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929463201700001862P;FA051701;PAGO CONFIRMADO;180.86;0;02/06/2017;10/06/2017;180.86;05/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927579201700000390P;FA051712;PAGO CONFIRMADO;361.72;0;02/06/2017;10/06/2017;361.72;05/06/2017;ARCSA;05/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
