Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16010222201700000006P;FA051013;PAGO AUTORIZADO;104.53;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16792429201700000013P;FA051037;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16928989201700000281P;FA051036;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;29/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16010295201700000005P;FA051012;PAGO AUTORIZADO;104.53;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16930181201700000015P;FA051011;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16010332201700000010P;FA051035;PAGO AUTORIZADO;104.53;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16940701201700000001P;FA051034;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;27/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16911420201700000027P;FA051010;PAGO AUTORIZADO;340.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16792362201700000009P;FA051033;PAGO AUTORIZADO;104.53;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16792362201700000008P;FA051032;PAGO AUTORIZADO;104.53;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16792362201700000010P;FA051031;PAGO AUTORIZADO;104.53;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16911420201700000026P;FA051009;PAGO AUTORIZADO;340.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16010295201700000004P;FA051030;PAGO AUTORIZADO;104.53;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16901637201700000719P;FA051008;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;29/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16920193201700000004P;FA051029;PAGO AUTORIZADO;96.09;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16778093201700000013P;FA051007;PAGO AUTORIZADO;340.34;0;25/05/2017;02/06/2017;0;;ARCSA;29/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16778093201700000012P;FA051006;PAGO AUTORIZADO;340.34;0;25/05/2017;02/06/2017;0;;ARCSA;29/05/2017;;;LIQUIDACION POR SOLICITUD VUE
