Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16788343201700000012P;FA052060;PAGO CONFIRMADO;10,45;0;06/06/2017;14/06/2017;10.45;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911060201700000030P;FA052057;PAGO CONFIRMADO;904,34;0;06/06/2017;14/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911060201700000029P;FA052036;PAGO CONFIRMADO;904,34;0;06/06/2017;14/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911060201700000028P;FA052054;PAGO CONFIRMADO;904,34;0;06/06/2017;14/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911060201700000027P;FA052053;PAGO CONFIRMADO;904,34;0;06/06/2017;14/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16789522201700000007P;FA052016;PAGO CONFIRMADO;96,09;0;06/06/2017;14/06/2017;96.09;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910876201700000008P;FA052007;PAGO CONFIRMADO;225,84;0;06/06/2017;14/06/2017;225.84;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928481201600000053P;FA051978;PAGO CONFIRMADO;2258,41;0;06/06/2017;14/06/2017;2258.41;06/06/2017;ARCSA;06/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16922126201700000028P;FA051984;PAGO CONFIRMADO;90,43;0;06/06/2017;14/06/2017;90.43;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16786212201700000002P;FA051982;PAGO CONFIRMADO;104,53;0;05/06/2017;13/06/2017;104.53;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16938218201700000024P;FA051965;PAGO CONFIRMADO;90,43;0;05/06/2017;13/06/2017;90.43;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930718201700000005P;FA051954;PAGO CONFIRMADO;340,34;0;05/06/2017;13/06/2017;340.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930489201700000024P;FA051953;PAGO CONFIRMADO;904,34;0;05/06/2017;13/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
