Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16928551201700000305P;FA052149;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000304P;FA052140;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000303P;FA052138;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000302P;FA052137;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000301P;FA052139;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000300P;FA052136;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000306P;FA052135;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000307P;FA052127;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000308P;FA052125;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793709201700000018P;FA052119;PAGO CONFIRMADO;104,53;0;07/06/2017;15/06/2017;104.53;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793709201700000012P;FA052118;PAGO CONFIRMADO;104,53;0;07/06/2017;15/06/2017;104.53;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792309201700000042P;FA052112;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16937494201700000082P;FA052110;PAGO CONFIRMADO;58,34;0;07/06/2017;15/06/2017;58.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
