Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16930317201700000022P;FA051699;PAGO CONFIRMADO;395.65;0;02/06/2017;10/06/2017;395.65;02/06/2017;ARCSA;02/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931054201700000011P;FA051660;PAGO CONFIRMADO;90.43;0;02/06/2017;10/06/2017;90.43;02/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928812201700000112P;FA051663;PAGO CONFIRMADO;904.34;0;02/06/2017;10/06/2017;904.34;02/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911043201700000098P;FA051662;PAGO CONFIRMADO;565.21;0;02/06/2017;10/06/2017;565.21;02/06/2017;ARCSA;02/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915197201700000027P;FA051649;PAGO CONFIRMADO;904.34;0;02/06/2017;10/06/2017;904.34;02/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000049P;FA051646;PAGO CONFIRMADO;71.47;0;02/06/2017;10/06/2017;71.47;02/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910504201700000319P;FA051590;PAGO CONFIRMADO;90.43;0;01/06/2017;09/06/2017;90.43;02/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911264201600000187P;FA051588;PAGO CONFIRMADO;90.43;0;01/06/2017;09/06/2017;90.43;02/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000062P;FA051583;PAGO CONFIRMADO;142.94;0;01/06/2017;09/06/2017;142.94;02/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930339201700000024P;FA051570;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;02/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932592201700000064P;FA051567;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;02/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000270P;FA051534;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;02/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929835201700000019P;FA051549;PAGO CONFIRMADO;361.72;0;01/06/2017;09/06/2017;361.72;02/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
